drug_name,active_ingredient,category,is_pediatric,is_chronic,form
STİVARGA 40 MG FİLM KAPLI TABLET,REGORAFENİB,Onkoloji,False,True,Tablet
CANLOX 32 MG/5 MG TABLET,KANDESARTAN SILEKSETIL/AMLODIPIN,Kalp/Tansiyon,False,True,Tablet
CANLOX 32MG/ 10MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN BESILAT,Kalp/Tansiyon,False,True,Tablet
KLAMER 500 MG FİLM KAPLITABLET,KLARİTROMİSİN,Antibiyotik,False,False,Tablet
CANLOX 16 MG/10 MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN,Kalp/Tansiyon,False,True,Tablet
CANLOX 16 MG/5 MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN,Kalp/Tansiyon,False,True,Tablet
CANLOX 8 MG/5 MG TABLET,"KANDESARTAN SILEKSETIL, AMLODIPIN BESILAT",Kalp/Tansiyon,False,True,Tablet
"CANLOX 8 MG/2,5 MG TABLET","KANDESARTAN SILEKSETIL, AMLODIPIN BESILAT",Kalp/Tansiyon,False,True,Tablet
RUNOMEX FORT 15 MG TABLET,MELOKSİKAM,Ağrı Kesici,False,False,Tablet
TOUJEO 300 U/ML SOLOSTAR SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKSİYON KALEMİ,İNSÜLİN GLARJİN,Diyabet,False,True,Enjeksiyon/Flakon
PANDEV 40 MG ENTERIK KAPLI TABLET,PANTOPRAZOL SODYUM SESKIHIDRAT,Mide,False,False,Tablet
PULCET 40 MG IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN LIYOFILIZE  TOZ,PANTOPRAZOL  SODYUM  SESKIHIDRAT,Mide,False,False,Enjeksiyon/Flakon
CİPRONATİN 250 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik,False,False,Tablet
PEDİTUS ZERO 160 MG+1 MG/5 ML ŞURUP,PARASETAMOL + KLORFENIRAMIN MALEAT,Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
PAROSET UNO PLUS 250 MG/5 ML SüSPANSIYON,PARASETAMOL,Ağrı Kesici,True,False,Diğer
CİPRONATİN 500 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik,False,False,Tablet
CİPRONATİN 750 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik,False,False,Tablet
FLAMAKS FORT 500 MG TABLET,NAPROKSEN,Ağrı Kesici,False,False,Tablet
FLAMAKS 250 MG TABLET,NAPROKSEN,Ağrı Kesici,False,False,Tablet
PARSETAN 10 MG/ML IV İNFÜZYONLUK ÇÖZELTİ,PARASETAMOL,Ağrı Kesici,False,False,Enjeksiyon/Flakon
OLEDRO HOT TEK DOZLUK EFERVESAN GRANÜL İÇEREN POŞET,"PARASETAMOL, FENİLEFRİN HCL, KLORFENİRAMİN MALEAT, OKSOLAMİN SİTRAT",Ağrı Kesici,False,False,Diğer
"FRONTAİR 100 MCG/6 MCG AEROSOL İNHALASYONU, ÇÖZELTİ","BEKLOMETAZON DİPROPİYONAT, FORMOTEROL",Solunum,False,True,İnhaler/Nebül
VOTRYXE 25 MCG TABLET,LEVOTİROKSİN SODYUM,Tiroid,False,True,Tablet
VOTRYXE 50 MCG TABLET,LEVOTİROKSİN SODYUM,Tiroid,False,True,Tablet
ATAMET 1000 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
ATAMET 1000 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
ATAMET 850 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
ATAMET 850 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
ATAMET 500 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
PARASEDOL 120 MG/5 ML PEDIATRIK ORAL çöZELTI,PARASETAMOL,Ağrı Kesici,False,False,Diğer
ATAMET 500 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
PARASEDOL 10 MG/ML İ.V. İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,PARASETAMOL,Ağrı Kesici,False,False,Enjeksiyon/Flakon
APRANAX 275 MG FILM KAPLI TABLET,NAPROKSEN SODYUM,Ağrı Kesici,False,False,Tablet
KLAVUNAT BID 200MG/28 MG ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ,AMOKSİSİLİN TRİHİDRAT- POTASYUM KLAVULANAT,Antibiyotik,True,False,Şurup/Süspansiyon/Damla
KLAVUNAT BID 400MG/57 MG FORTE ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ,AMOKSİSİLİN TRİHİDRAT- POTASYUM KLAVULANAT,Antibiyotik,True,False,Şurup/Süspansiyon/Damla
TENSART PLUS 16/12.5 MG TABLET,"KANDESARTAN SİLEKSETİL, HİDROKLOROTİYAZID",Kalp/Tansiyon,False,True,Tablet
PAROL PLUS 250MG/5ML ORAL SÜSPANSIYON,PARASETAMOL,Ağrı Kesici,True,False,Diğer
PAROL 120 MG/5 ML ORAL SÜSPANSİYON,PARASETAMOL,Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
TAMOL 500 MG TABLET,PARASETAMOL,Ağrı Kesici,False,False,Tablet
TYLOL PLUS 500 MG/30 MG TABLET,PARASETAMOL+KAFEİN,Ağrı Kesici,False,False,Tablet
COLASTİN-L 10 MG FİLM KAPLI TABLET,ATORVASTATİN KALSİYUM,Kolesterol,False,True,Tablet
İBUJEZIK BABY 60 MG SUPOZITUVAR,İBUPROFEN,Ağrı Kesici,False,False,Supozituvar
XANAX 0.5 MG TABLET,ALPRAZOLAM,Anksiyolitik/Uyku-Bağımlılık Riskli,False,False,Tablet
XANAX 1 MG TABLET,ALPRAZOLAM,Anksiyolitik/Uyku-Bağımlılık Riskli,False,False,Tablet
ASE-COLD 120 MG+50 MG+1 MG/5 ML PEDIATRIK şURUP,PARASETAMOL+OKSOLAMİN SİTRAT+KLORFENİRAMİN MALEAT,Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
MINOSET 500 MG TABLET,PARASETAMOL,Ağrı Kesici,False,False,Tablet
İBUMENT %5+%3 JEL,"İBUPROFEN, LEVOMENTOL",Ağrı Kesici,False,False,Topikal (Krem/Jel)
FRADİNE 49 MG/51 MG FİLM KAPLI TABLET,"SAKUBİTRİL SODYUM, VALSARTAN DİSODYUM",Kalp/Tansiyon,False,True,Tablet
FRADİNE 24 MG/26 MG FİLM KAPLI TABLET,"SAKUBİTRİL SODYUM, VALSARTAN DİSODYUM",Kalp/Tansiyon,False,True,Tablet
EMPANCE MET 5/1000 MG FİLM KAPLI TABLET,"EMPAGLİFLOZİN, METFORMİN",Diyabet,False,True,Tablet
"EMPANCE MET 12,5 MG/1000 MG FİLM KAPLI TABLET","EMPAGLİFLOZİN, METFORMİN HİDROKLORÜR",Diyabet,False,True,Tablet
AİRTİDE 250/50 MCG İNHALASYON İÇİN TOZ İÇEREN KAPSÜL,"SALMETEROL KSİNAFOAT, FLUTİKAZON PROPİYONAT",Solunum,False,True,Kapsül
AİRTİDE 500/50 MCG İNHALASYON İÇİN TOZ İÇEREN KAPSÜL,"SALMETEROL KSİNAFOAT, FLUTİKAZON PROPİYONAT",Solunum,False,True,Kapsül
KARVEA DUO 150 MG / 10 MG FİLM KAPLI TABLET,"İRBESARTAN, AMLODİPİN",Kalp/Tansiyon,False,True,Tablet
KARVEA DUO 300 MG / 5 MG FİLM KAPLI TABLET,"İRBESARTAN, AMLODİPİN",Kalp/Tansiyon,False,True,Tablet
RONAP 10 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol,False,True,Tablet
RONAP 20 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol,False,True,Tablet
RONAP 40 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol,False,True,Tablet
PAROL 200 MG SUPPOZİTUVAR,PARASETAMOL,Ağrı Kesici,False,False,Diğer
"FORADİL-COMBİ FİX 320 MCG/9 MCG İNHALASYON TOZU, SERT KAPSÜL",BUDESONİD - FORMOTEROL FUMARAT DİHİDRAT,Solunum,False,True,Kapsül
GLİVEC 400 MG FİLM KAPLI TABLET,İMATİNİB,Onkoloji,False,True,Tablet
FORFLU 100 MG+15 MG+1 MG/5 ML PEDİATRİK ŞURUP,"İBUPROFEN, PSÖDOEFEDRİN HİDROKLORÜR, KLORFENİRAMİN MALEAT",Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
KUİFLEX 200 MG/200 MG FİLM KAPLı TABLET,"FENPROBAMAT,PARASETAMOL",Ağrı Kesici,False,False,Tablet
GLİVEC 100 MG FİLM KAPLI TABLET,İMATİNİB,Onkoloji,False,True,Tablet
PEDITUS ŞURUP (ÜRETİM YERİ: HUMANİS),"PARASETAMOL,  GUAİFENESİN,  PRİLAMİN MALEAT,  FENİLEFRİN HCL",Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
PEDITUS ŞURUP (ÜRETİM YERİ: GENVEON),"PARASETAMOL, GUAIFENESIN,  PRILAMIN MALEAT, FENILEFRIN HCL",Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
HERNOVİR 200 MG TABLET,ASİKLOVİR,Antiviral,False,False,Tablet
KADCYLA 160 MG INFüZYONLUK çöZELTI KONSANTRESI IçIN TOZ,TRASTUZUMAB EMTANSINE,Onkoloji,False,True,Diğer
DOLVEN 100 MG/5ML PEDİATRIK ŞURUP,İBUPROFEN,Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
ELEKTRA %1.25 JEL,DEKSKETOPROFEN TROMETAMOL,Ağrı Kesici,False,False,Topikal (Krem/Jel)
GRIBEX COLD&FLU 200 MG/30 MG/4 MG FILM KAPLI TABLET,"İBUPROFEN, PSÖDOEFEDRİN HİDROKLORÜR, KLORFENİRAMİN MALEAT",Ağrı Kesici,False,False,Tablet
SUPRAFEN %5 JEL,İBUPROFEN,Ağrı Kesici,False,False,Topikal (Krem/Jel)
SUPRAFEN %5 JEL,İBUPROFEN,Ağrı Kesici,False,False,Topikal (Krem/Jel)
OMİZOL 40 MG I.V. İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ,OMEPRAZOL SODYUM,Mide,False,False,Enjeksiyon/Flakon
MINOSET PLUS 250 MG/150 MG/50 MGTABLET (ÜRETİM YERİ: SANOFI İLAç SAN. VE TIC. A.Ş.  ),"PARASETAMOL, PROPIFENAZON, KAFEIN",Ağrı Kesici,False,False,Tablet
ATADOR 250 MG/  150  MG/  50  MG  TABLET,"PARASETAMOL, PROPİFENAZON, KAFEİN",Ağrı Kesici,False,False,Tablet
MINOSET PLUS 250 MG/150 MG/50 MGTABLET (ÜRETİM YERİ: SANDOZ GRUP SAğLıK ÜRüNLERI İLAçLARı SAN. VE TIC. A.Ş.),"PARASETAMOL, PROPIFENAZON, KAFEIN",Ağrı Kesici,False,False,Tablet
POLAMINOFEN 10  MG/ML I.V. İNFüZYON İçIN ÇöZELTI,PARASETAMOL,Ağrı Kesici,False,False,Diğer
PARACEROL 10 MG/ML I.V. İNFüZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,PARASETAMOL,Ağrı Kesici,False,False,Enjeksiyon/Flakon
KADCYLA 100 MG IV İNFÜZYONLUK ÇÖZELTİ KONSANTRESİ İÇİN TOZ İÇEREN FLAKON,TRASTUZUMAB EMTANSİN,Onkoloji,False,True,Enjeksiyon/Flakon
ATOKSİLİN 1 G TABLET,AMOKSİSİLİN TRİHİDRAT,Antibiyotik,False,False,Tablet
DEKSİT 25 MG/8 MG TABLET (14 TABLET),DEKSKETOPROFEN TROMETAMOL/TİYOKOLŞİKOSİD,Ağrı Kesici,False,False,Tablet
TAVANİC 500 MG/100 ML IV İNFUZYONLUK ÇÖZELTİ,LEVOFLOKSASİN HEMİHİDRAT,Antibiyotik,False,False,Enjeksiyon/Flakon
DEKSİT 25 MG/4 MG TABLET,DEKSKETOPROFEN TROMETAMOL / TİYOKOLŞİKOSİD,Ağrı Kesici,False,False,Tablet
MULTICOLD 200/250/50 MG EFERVESAN TABLET,PARASETAMOL / ASETILSALISILIK ASIT / KAFEIN,Ağrı Kesici,False,False,Tablet
"NASOVİNE DUO 0.5MG+0.6MG/ML BURUN SPREYİ, ÇÖZELTI","KSİLOMETAZOLİN HCI, İPRATROPİUM BROMÜR",Solunum,False,True,Diğer
MUSKAZON 300 MG/250 MG TABLET,"KLORZOKSAZON, PARASETAMOL",Ağrı Kesici,False,False,Tablet
GRİPİN 500 MG/30 MG KAŞE,"PARASETAMOL, KAFEIN",Ağrı Kesici,False,False,Diğer
LEVMONT 5/10 MG FILM KAPLI TABLET,"LEVOSETIRIZIN DIHIDROKLORÜR, MONTELUKAST SODYUM",Solunum,False,True,Tablet
"NASOVİNE  DUO  0.5MG+0.6MG/ML  BURUN  SPREYİ,  ÇÖZELTİ","KSİLOMETAZOLİN HCI, İPRATROPİUM BROMÜR",Solunum,False,True,Enjeksiyon/Flakon
MUSKAZON 300 MG/250 MG TABLET,"KLORZOKSAZON, PARASETAMOL",Ağrı Kesici,False,False,Tablet
RASTAMOL 10 MG/ML İNFüZYONLUK ÇöZELTI,PARASETAMOL,Ağrı Kesici,False,False,Diğer
ARLİPTİN MET XR 50 MG/1000 MG FİLM KAPLI TABLET,"SİTAGLİPTİN HİDROKLORÜR MONOHİDRAT, METFORMİN HİDROKLORÜR",Diyabet,False,True,Tablet
ARLİPTİN MET XR 100 MG/1000 MG FİLM KAPLI TABLET,"SİTAGLİPTİN HİDROKLORÜR MONOHİDRAT, METFORMİN HİDROKLORÜR",Diyabet,False,True,Tablet
CLEANOMİSİN 500 MG FİLM TABLET,KLARİTROMİSİN,Antibiyotik,False,False,Tablet
KUİLİL 200 MG/200 MG FİLM KAPLI TABLET,FENPROBAMAT+PARASETAMOL,Ağrı Kesici,False,False,Tablet
A-PER 10 MG/ML I.V. İNFÜZYONLUK ÇÖZELTİ,PARASETAMOL,Ağrı Kesici,False,False,Enjeksiyon/Flakon
CİPRONATİN 400 MG/ 200 ML IV İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,SİPROFLOKSASİN BAZ,Antibiyotik,False,False,Enjeksiyon/Flakon
DROFLU COLD PLUS 100 MG + 15 MG + 1 MG/ 5ML ŞURUP,İBUPROFEN+PSÖDOEFEDRİN HİDROKLORÜR+KLORFENİRAMİN MALEAT,Ağrı Kesici,True,False,Şurup/Süspansiyon/Damla
BRAVEX LIQUI-GELS 400 MG YUMUŞAK KAPSÜL,İBUPROFEN,Ağrı Kesici,False,False,Kapsül
MEDOLAPRAM 10 MG FİLM KAPLI TABLET,ESSİTALOPRAM,Psikiyatri,False,True,Tablet
"FORNİT 12 MCG İNHALASYON TOZU, SERT KAPSÜL",FORMOTEROL FUMARAT DİHİDRAT,Solunum,False,True,Kapsül
TIO-DEKSOLEX 25MG/4 MG FILM KAPLı TABLET,"DEKSKETOPROFEN TROMETAMOL, TIYOKOLşIKOSID",Ağrı Kesici,False,False,Tablet
"TENSART PLUS 32 MG/ 12,5 MG TABLET",KANDESARTAN SİLEKSETİL / HİDROKLOROTİYAZİD,Kalp/Tansiyon,False,True,Tablet
CETAFLU FORTE 650 MG/10 MG/4 MG FİLM KAPLI TABLET,"PARASETAMOL, FENILEFRIN HIDROKLORüR,  KLORFENIRAMIN MALEAT",Ağrı Kesici,False,False,Tablet
ASEKET 25 MG / 500 MG FİLM KAPLI TABLET,"DEKSKETOPROFEN, PARASETAMOL",Ağrı Kesici,False,False,Tablet
PIROFEN 500 MG TABLET,PARASETAMOL,Ağrı Kesici,False,False,Tablet
TENSART 32 MG TABLET,KANDESARTAN SİLEKSETİL,Kalp/Tansiyon,False,True,Tablet
MEDOLAPRAM 10 MG FİLM KAPLI TABLET,ESSİTALOPRAM,Psikiyatri,False,True,Tablet
