drug_name,active_ingredient,category
NOSPAZM 40 MG FILM KAPLı TABLET,OTILONYUM BROMÜR,Diğer / Sınıflandırılamadı
NEWAGRA 50 MG FILM KAPLı TABLET,SİLDENAFİL SITRAT,Diğer / Sınıflandırılamadı
NEWAGRA 100 MG FILM KAPLı TABLET,SİLDENAFİL SITRAT,Diğer / Sınıflandırılamadı
PİRFECT 200 MG FİLM KAPLI TABLET,PİRFENİDON,Diğer / Sınıflandırılamadı
YERUBA 200 MG FILM KAPLI TABLET,İMATINIB MESILAT,Diğer / Sınıflandırılamadı
EXİGO 7 MG FİLM KAPLI TABLET,AKSİTİNİB,Diğer / Sınıflandırılamadı
ICLUSIG 15 MG FILM KAPLı TABLET,PONATINIB,Diğer / Sınıflandırılamadı
ICLUSIG 30 MG FILM KAPLı TABLET,PONATINIB,Diğer / Sınıflandırılamadı
ICLUSIG 45 MG FILM KAPLı TABLET,PONATINIB,Diğer / Sınıflandırılamadı
CLINOLEIC %20 IV İNFÜZYONLUK LİPİD EMÜLSİYON,"SAF ZEYTİNYAĞI, SAF SOYA YAĞI",Diğer / Sınıflandırılamadı
"COLCHICUM DISPERT  0,5 MG FILM KAPLI TABLET",KOLŞİSİN,Diğer / Sınıflandırılamadı
IXIFI 100 MG  I.V. İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,İNFLIXIMAB,Diğer / Sınıflandırılamadı
NINLARO 3 MG KAPSüL,IKSAZOMIB SITRAT,Diğer / Sınıflandırılamadı
CABRAL 800 MG/3 ML IM ENJEKSIYONLUK çöZELTI,FENIRAMIDOL HCL,Diğer / Sınıflandırılamadı
BAYMELA 3 MG TABLET,MELATONİN,Diğer / Sınıflandırılamadı
IBU PHARMA BIOS 600 MG DEğIşTIRILMIş SALıMLı TABLET,İBUPROFEN,Ağrı Kesici
DEZİRA COMBİ 10 MG/7 MG UZATILMIŞ SALIMLI SERT KAPSÜL,"DONEPEZİL HİDROKLORÜR, MEMANTİN HİDROKLORÜR",Diğer / Sınıflandırılamadı
DEZİRA COMBİ 10 MG/14 MG UZATILMIŞ SALIMLI SERT KAPSÜL,"DONEPEZİL HİDROKLORÜR, MEMANTİN HİDROKLORÜR",Diğer / Sınıflandırılamadı
DEZİRA COMBİ 10 MG/21 MG UZATILMIŞ SALIMLI SERT KAPSÜL,"DONEPEZİL HİDROKLORÜR, MEMANTİN HİDROKLORÜR",Diğer / Sınıflandırılamadı
DEZİRA COMBİ 10 MG/28 MG UZATILMIŞ SALIMLI SERT KAPSÜL,"DONEPEZİL HİDROKLORÜR, MEMANTİN HİDROKLORÜR",Diğer / Sınıflandırılamadı
NINLARO 4 MG KAPSüL,IKSAZOMIB SITRAT,Diğer / Sınıflandırılamadı
NINLARO 2.3 MG KAPSüL,IKSAZOMIB,Diğer / Sınıflandırılamadı
GLUCOTARD 850 MG FİLM KAPLI TABLET,METFORMİN HİDROKLORÜR,Diyabet
GLUCOTARD 1000 MG FİLM KAPLI TABLET,METFORMİN HİDROKLORÜR,Diyabet
NOVOSEVEN RT 5 MG (250 KIU) ENJEKSİYONLUK ÇÖZELTİ İÇİN TOZ VE ÇÖZÜCÜ,EPTAKOG ALFA,Diğer / Sınıflandırılamadı
FESOR 90 MG FİLM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
FESOR 180 MG FİLM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
FESOR 360 MG FİLM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
ROSİMİB 10 MG / 20 MG FILM KAPLı TABLET,"EZETIMIB, ROSUVASTATIN KALSIYUM",Diğer / Sınıflandırılamadı
DEFİRİNAL 500 MG DAĞILABİLİR TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FERİFER 100 MG/5ML ORAL ÇÖZELTİ İÇEREN KAŞIK,DEMİR III,Diğer / Sınıflandırılamadı
FESOR 125 MG DAĞILABİLİR TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FESOR 250 MG DAĞILABİLİR TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FESOR 500 MG DAĞILABİLİR TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
RASTEL 25 MG ÇENTİKLİ FİLM KAPLI TABLET,DEKSKETOPROFEN TROMETAMOL,Ağrı Kesici
OXFET 360 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
OXFET 180 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
OXFET 90 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
SAXENDA 6 MG/ML SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR KALEM,LİRAGLUTİD,Diğer / Sınıflandırılamadı
PEXA XR 0.375 MG UZATILMIŞ SALIMLI TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
"PRİMEFLEKS %5 DEKSTROZ % 0,9 SODYUM KLORÜR I.V. İNFÜZYONLUK ÇÖZELTİ","DEKSTROZ ANHİDRAT, SODYUM KLORÜR",Diğer / Sınıflandırılamadı
"LUVLİQ 0.14 MG BURUN SPREYI, çöZELTI",AZELASTIN HIDROKLORüR,Diğer / Sınıflandırılamadı
"MAXICAINE 68 MG + 0,0085 MG / 1,7 ML  ENJEKSIYONLUK ÇÖZELTI İÇEREN KARPÜL","ARTIKAIN HIDROKLORüR, EPINEFRIN BAZ",Diğer / Sınıflandırılamadı
LYXUMIA 10 MCG ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN KULLANIMA HAZIR KALEM,LİKSİSENATİD,Diğer / Sınıflandırılamadı
SERTOGAMMA 100 MG/100 MG FILM KAPLı TABLET,"BENFOTIAMIN, PIRIDOKSIN HIDROKLORüR (B6  VITAMINI)",Diğer / Sınıflandırılamadı
PEXA XR 2.25 MG UZATıLMış SALıMLı TABLET,PRAMIPEKSOL DİKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
BİLFASİN 500 MG FİLM KAPLI TABLET,SEFALEKSİN MONOHİDRAT,Diğer / Sınıflandırılamadı
PROSCAR 5 MG FILM KAPLI TABLET,FINASTERID,Diğer / Sınıflandırılamadı
PEXA XR 4.5 MG UZATILMIŞ SALIMLI TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
PEXA XR 1.5 MG UZATILMIŞ SALIMLI TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
CARBOPLATIN–KOÇAK 450 MG/ 45 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,KARBOPLATİN,Diğer / Sınıflandırılamadı
ARAMID 100 MG FILM TABLET,LEFLUNOMID,Diğer / Sınıflandırılamadı
CARBOPLATIN–KOÇAK 600 MG/ 60 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,KARBOPLATİN,Diğer / Sınıflandırılamadı
CARBOPLATIN–KOÇAK 1000 MG/ 100 ML IV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,KARBOPLATİN,Diğer / Sınıflandırılamadı
LOCERYL %5 İLAÇLI TIRNAK CİLASI,AMOROLFİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
PEXA XR 3 MG UZATILMIŞ SALIMLI TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
PALONEX 250 MCG/5ML IV ENJEKSIYONLUK çöZELTI,PALONOSETRON HİDROKLORÜR,Diğer / Sınıflandırılamadı
PROPECİA 1 MG FİLM KAPLI TABLET,FİNASTERİD,Diğer / Sınıflandırılamadı
FOSETAZ 4 MG UZATıLMış SALıMLı FILM KAPLı TABLET,FESOTERODIN FUMARAT,Diğer / Sınıflandırılamadı
FOSETAZ 8 MG UZATıLMış SALıMLı FILM KAPLı TABLET,FESOTERODIN FUMARAT,Diğer / Sınıflandırılamadı
BİTERAL 500 MG/ 3 ML I.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN AMPUL,ORNİDAZOL,Diğer / Sınıflandırılamadı
KAROKSEN FORT 550 MG FILM KAPLı TABLET,NAPROKSEN SODYUM,Ağrı Kesici
LİXİANA   60 MG FILM  KAPLI TABLET,EDOKSABAN TOSILAT,Diğer / Sınıflandırılamadı
LİXİANA  15 MG FILM  KAPLI TABLET,EDOKSABAN TOSILAT,Diğer / Sınıflandırılamadı
LİXİANA  30 MG FILM  KAPLI TABLET,EDOKSABAN TOSILAT,Diğer / Sınıflandırılamadı
UCEDANE 200 MG DAĞILABİLİR TABLET,KARGLUMIK ASIT,Diğer / Sınıflandırılamadı
BITERAL 250 MG FILM KAPLI TABLET,ORNİDAZOL,Diğer / Sınıflandırılamadı
VANSEF 500 MG IM ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK IçIN TOZ VE  ÇöZüCü,SEFAZOLİN SODYUM,Antibiyotik
VANSEF 1000 MG IM ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK IçIN TOZ VE  ÇöZüCü,SEFAZOLİN SODYUM,Antibiyotik
GLİVİDİN MET 50 MG/ 1000 MG FİLM KAPLI TABLET,"METFORMİN HİDROKLORÜR , VİLDAGLİPTİN",Diyabet
HİDRASİT 1000 MG ÇİĞNEME TABLETİ,HİDROTALSİT,Diğer / Sınıflandırılamadı
BİTERAL 500 MG FİLM KAPLI TABLET,ORNİDAZOL,Diğer / Sınıflandırılamadı
YULAREB 50 MG FİLM KAPLI TABLET,ABEMASİKLİB,Diğer / Sınıflandırılamadı
YULAREB 100 MG FİLM KAPLI TABLET,ABEMASİKLİB,Diğer / Sınıflandırılamadı
YULAREB 150 MG FILM KAPLI TABLET,ABEMASİKLİB,Diğer / Sınıflandırılamadı
KREVAL FORTE  15 MG/5 ML ŞURUP,BUTAMİRAT SİTRAT,Diğer / Sınıflandırılamadı
LİNKOSOL 600 MG/2 ML IM/IV ENJEKSIYONLUK ÇöZELTI,LINKOMISIN HIDROKLORüR,Diğer / Sınıflandırılamadı
TYGEX 50 MG I.V. İNFÜZYON ÇÖZELTİSİ İÇİN LİYOFİLİZE TOZ İÇEREN FLAKON,TİGESİKLİN,Diğer / Sınıflandırılamadı
"KREVAL 7,5 MG/5 ML ŞURUP",BUTAMİRAT SİTRAT,Diğer / Sınıflandırılamadı
"KREVAL MAX 22,5 MG/5 ML ŞURUP",BUTAMIRAT SITRAT,Diğer / Sınıflandırılamadı
DİAMOND 32 MG DAĞILABİLİR TABLET,BOSENTAN MONOHİDRAT,Diğer / Sınıflandırılamadı
TEPHARIX 100 MG İNFüZYONLUK ÇöZELTI  HAZıRLAMADA KULLANıLACAK KONSANTRE İçIN TOZ,TİYOTEPA,Diğer / Sınıflandırılamadı
"PERİLOPİN PLUS 8 MG/2,5 MG/5 MG FİLM KAPLI TABLET","PERİNDOPRİL TERT-BUTİLAMİN, İNDAPAMİD, AMLODİPİN BESİLAT",Kalp/Tansiyon
"PERİLOPİN PLUS 4 MG/1,25 MG/10 MG FİLM KAPLI TABLET","PERİNDOPRİL TERT-BUTİLAMİN, İNDAPAMİD, AMLODİPİN BESİLAT",Kalp/Tansiyon
"PERİLOPİN PLUS 4 MG/1,25 MG/5 MG FİLM KAPLI TABLET","PERİNDOPRİL TERT-BUTİLAMİN, İNDAPAMİD, AMLODİPİN BESİLAT",Kalp/Tansiyon
"PERİLOPİN PLUS 8 MG/2,5 MG/10 MG FİLM KAPLI TABLET","PERİNDOPRİL TERT-BUTİLAMİN, İNDAPAMİD, AMLODİPİN BESİLAT",Kalp/Tansiyon
"LEXEVA 24  MG/1,2 ML S.C. ENJEKSIYONLUK ÇöZELTI",PLERIKSAFOR,Diğer / Sınıflandırılamadı
GENODYUM 500 MG GASTRO REZISTAN TABLET,SODYUM BIKARBONAT,Diğer / Sınıflandırılamadı
EDURANT 25 MG FİLM KAPLI TABLET,RİLPİVİRİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
"DENCOL %8,71 JEL SPREY",KOLIN SALISILAT,Diğer / Sınıflandırılamadı
PANADOL MİGRESTOP 250MG/250MG/65MG FILM TABLET,"PARASETAMOL, ASETIL SALISILIK ASIT, KAFEIN",Ağrı Kesici
MAXALT 10 MG AĞIZDA DAĞILAN TABLET,RİZATRİPTAN,Diğer / Sınıflandırılamadı
SIRTURO 100 MG TABLET,BEDAKUİLİN FUMARAT,Diğer / Sınıflandırılamadı
PANADOL EXTRA 500 MG/65 MG FILM KAPLı TABLET,"PARASETAMOL, KAFEIN",Ağrı Kesici
DİAZOMİD 250 MG TABLET,ASETAZOLAMİD,Diğer / Sınıflandırılamadı
PANADOL 500 MG FİLM KAPLI TABLET,PARASETAMOL,Ağrı Kesici
"FUSIX %1 VISKOZ GöZ DAMLASı, ÇöZELTI",FUSİDİK ASİT HEMİHİDRAT,Diğer / Sınıflandırılamadı
FUSİX DERMACORT % 2 + % 0.1 KREM,"FUSİDİK ASİT, BETAMETAZON VALERAT",Diğer / Sınıflandırılamadı
XIVUBEL 120 MG/ML ENJEKSIYONLUK ÇöZELTI,BROLUCIZUMAB,Diğer / Sınıflandırılamadı
DAPTOPOL 350 MG I.V. ENJEKSIYONLUK/İNFüZYONLUK  ÇöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE İçIN TOZ,DAPTOMISIN,Diğer / Sınıflandırılamadı
DAPTOPOL 500 MG I.V. ENJEKSIYONLUK/İNFüZYONLUK  ÇöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE İçIN TOZ,DAPTOMISIN,Diğer / Sınıflandırılamadı
DOLOSPAS 40 MG/80 MG FİLM KAPLI TABLET,"OTILONYUM BROMüR, SIMETIKON",Diğer / Sınıflandırılamadı
NOBİVOR 200 MG FİLM KAPLI TABLET,VORİKONAZOL,Diğer / Sınıflandırılamadı
PASCOLON ORAL ÇÖZELTI HAZIRLAMAK İÇİN TOZ,"MAKROGOL, SODYUM KLORüR, SODYUM BIKARBONAT, POTASYUM KLORüR",Diğer / Sınıflandırılamadı
ALGESAL % 10 MERHEM,DİETİLAMİN SALİSİLAT,Diğer / Sınıflandırılamadı
LEVESTO 1000 MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
CARLOPINE 5 MG TABLET,AMLODİPİN BESİLAT,Kalp/Tansiyon
EFUDİX %5 KREM,FLUOROURASİL,Diğer / Sınıflandırılamadı
OSİREC 4 G/60 ML REKTAL SÜSPANSİYON,MESALAZİN,Diğer / Sınıflandırılamadı
FORSEF 0.5 G IM ENJEKSİYONLUK TOZ  İÇEREN FLAKON,SEFTRIAKSON DİSODYUM,Diğer / Sınıflandırılamadı
FORSEF 0.5G IV ENJEKTABL TOZ İÇEREN FLAKON,SEFTRİAKSON DİSODYUM,Antibiyotik
FORSEF 1G IV ENJEKTABL TOZ İÇEREN FLAKON,SEFTRİAKSON DİSODYUM,Antibiyotik
"SOLARVIT FORT 150.000 I.U. /10 ML ORAL DAMLA,  ÇöZELTI",VİTAMİN D3 ( KOLEKALSIFEROL ),Diğer / Sınıflandırılamadı
LAUDAZOL 500 MG/3ML İNFüZYON ÇöZELTISI,ORNIDAZOL,Diğer / Sınıflandırılamadı
NETROLEX 1000 MG XR TABLET,LEVETİRASETAM,Sinir Sistemi
ATIVAN EXPIDET 1 MG TABLET,LORAZEPAM,Diğer / Sınıflandırılamadı
"BECLOSP 100 MCG BURUN SPREYI, SüSPANSIYON",BEKLOMETAZON DIPROPIYONAT,Diğer / Sınıflandırılamadı
ATIVAN EXPIDET 2.5 MG TABLET,LORAZEPAM,Diğer / Sınıflandırılamadı
FUROXİMED 750 MG I.M. ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü,"SEFUROKSIM SODYUM, LIDOKAIN HIDROKLORüR",Diğer / Sınıflandırılamadı
TRACTAN 32 MG DAğıLABILIR TABLET,BOSENTAN MONOHIDRAT,Diğer / Sınıflandırılamadı
OTEMİLAST 30 MG FİLM KAPLI TABLET,APREMİLAST,Diğer / Sınıflandırılamadı
JARDİFLOZ 25 MG FİLM KAPLI TABLET,EMPAGLİFLOZİN,Diğer / Sınıflandırılamadı
SİZOLOCK 120 MG FİLM KAPLI TABLET,LURASİDON HİDROKLORÜR,Diğer / Sınıflandırılamadı
SİZOLOCK 60 MG FİLM KAPLI TABLET,LURASİDON HİDROKLORÜR,Diğer / Sınıflandırılamadı
SİZOLOCK 40 MG FİLM KAPLI TABLET,LURASİDON HİDROKLORÜR,Diğer / Sınıflandırılamadı
SİZOLOCK 20 MG FİLM KAPLI TABLET,LURASİDON HİDROKLORÜR,Diğer / Sınıflandırılamadı
"PANFENA %0,1 GÖZ DAMLASI, SÜSPANSİYON",NEPAFENAK,Diğer / Sınıflandırılamadı
SIZOLOCK 80 MG FILM KAPLı TABLET,LURASİDON HİDROKLORÜR,Diğer / Sınıflandırılamadı
MYOZYME 50 MG IV İNFÜZYONLUK KONSANTRE ÇÖZELTİ HAZIRLAMAK İÇİN TOZ,ALGLUKOSİDAZ ALFA,Diğer / Sınıflandırılamadı
"TYLOTUS NIGHT 325 MG+5 MG+12,5 MG/15 ML ORAL ÇöZELTI","PARASETAMOL, FENİLEFRİN HİDROKLORÜR, DİFENHİDRAMİN HİDROKLORÜR",Ağrı Kesici
KOPAQ 300 MGI/ML ENJEKSİYONLUK ÇÖZELTİ,İOHEKSOL,Diğer / Sınıflandırılamadı
MEKSUN 7.5 MG TABLET,MELOKSİKAM,Ağrı Kesici
ZENO 180 MG FILM KAPLı TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
ZENO 360 MG FİLM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
ZENO 90 MG FİLM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
MAKSİSEF 1000 MG FİLM KAPLI TABLET,SEFAKLOR,Diğer / Sınıflandırılamadı
FORSEF 1 G IM ENJEKSİYONLUK TOZ  İÇEREN FLAKON,SEFTRIAKSON DİSODYUM,Diğer / Sınıflandırılamadı
CANDIDIN 150 MG KAPSÜL,FLUKONAZOL,Diğer / Sınıflandırılamadı
FURİL 200 MG/5 ML ORAL SÜSPANSİYON,NİFUROKSAZİD,Diğer / Sınıflandırılamadı
FİLGRASTİM-TURGUT 30 MIU/0.5 ML IV İNFÜZYON/SC ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,FİLGRASTİM,Diğer / Sınıflandırılamadı
FİLGRASTİM-TURGUT 48 MIU/0.5 ML IV İNFÜZYON/SC ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,FİLGRASTİM,Diğer / Sınıflandırılamadı
REZUROCK 200 MG FİLM KAPLI TABLET,BELUMOSUDİL MESİLAT,Diğer / Sınıflandırılamadı
FULMOREX ®  10 MG FILM KAPLı TABLET,MASITENTAN,Diğer / Sınıflandırılamadı
ECTOPİX S % 0.1 ÇÖZELTİ,METİLPREDNİSOLON ASEPONAT,Diğer / Sınıflandırılamadı
LİPİTOR 10 MG FILM KAPLI TABLET,ATORVASTATIN KALSIYUM,Diğer / Sınıflandırılamadı
LİPİTOR 20 MG FILM KAPLI TABLET,ATORVASTATIN KALSIYUM,Diğer / Sınıflandırılamadı
TİPRAXİN 2 G / 0.25 G IV ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ,PİPERASİLİN SODYUM - TAZOBAKTAM SODYUM,Diğer / Sınıflandırılamadı
LİPİTOR 80 MG FILM KAPLI TABLET,ATORVASTATIN KALSIYUM,Diğer / Sınıflandırılamadı
LİPİTOR 40 MG FILM KAPLI TABLET,ATORVASTATIN KALSIYUM,Diğer / Sınıflandırılamadı
"PEGEA % 0.005 GÖZ DAMLASI, ÇÖZELTİ",LATANOPROST,Diğer / Sınıflandırılamadı
NİMEJEL %3 JEL,NİMESULİD,Diğer / Sınıflandırılamadı
NIMEJEL  PLUS  %1+%5  JEL,"NIMESULID , LIDOKAIN",Diğer / Sınıflandırılamadı
EMPAFEL 10 MG FILM KAPLI TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
EMPAFEL 25 MG FILM KAPLI TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
"BYETTA 5 MCG/20 MCL S.C. KULLANIMA HAZIR DOLU ENJEKSİYON KALEMİ İÇİNDE ÇÖZELTİ, 1,2 ML",EKSENATID,Diğer / Sınıflandırılamadı
MUSCOBLOC  50  MG/5  ML  İ.V. ENJEKSIYONLUK  ÇöZELTI,ROKÜRONYUM BROMüR,Diğer / Sınıflandırılamadı
"BYETTA 10 MCG/40 MCL S.C. KULLANIMA HAZIR  DOLU ENJEKSİYON KALEMİ İÇİNDE ÇÖZELTİ, 2,4 ML",EKSENATID,Diğer / Sınıflandırılamadı
"KOLSIN 0,5 MG FİLM KAPLI TABLET",KOLŞISIN,Diğer / Sınıflandırılamadı
DEXAPHEN 25 MG/500 MG FILM KAPLI TABLET,"PARASETAMOL , DEKSKETOPROFEN TROMETAMOL",Ağrı Kesici
"HYONAT  %0.15  TEK  DOZLUK  GÖZ  DAMLASI, ÇÖZELTI",SODYUM HIYALüRONAT,Diğer / Sınıflandırılamadı
IMMUNINE 1200 IU/10 ML IV INFÜZYONLUK ÇÖZELTİ IÇIN LIYOFILIZE TOZ IÇEREN FLAKON,INSAN KOAGÜLASYON FAKTÖRÜ IX,Diğer / Sınıflandırılamadı
TUSEK 1000 MG FİLM KAPLI TABLET,SEKNİDAZOL,Diğer / Sınıflandırılamadı
ROSİMİB 10 MG / 10 MG FILM KAPLı TABLET,"EZETIMIB,  ROSUVASTATIN KALSIYUM",Diğer / Sınıflandırılamadı
ROSIMIB 10 MG /5 MG FILM KAPLı TABLET,"EZETIMIB, ROSUVASTATIN KALSIYUM",Diğer / Sınıflandırılamadı
FERAPPLİC  500 MG/10 ML ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ,DEMİR KARBOKSİMALTOZ,Diğer / Sınıflandırılamadı
SEPARMOL 160 MG/5 ML PEDIYATRIK ŞURUP,PARASETAMOL,Ağrı Kesici
SULJEL PLUS %1+%5 JEL,"NIMESULID, LIDOKAIN",Diğer / Sınıflandırılamadı
BUTEFİN %1 KREM,BUTENAFİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
"BUTEFIN %1 DERIYE UYGULANACAK SPREY, ÇöZELTI",BUTENAFİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
AKNEFLOKS %1 KREM,NADİFLOKSASİN,Diğer / Sınıflandırılamadı
BUTEGAL %1 KREM,BUTENAFIN HIDROKLORüR,Diğer / Sınıflandırılamadı
"BUTEGAL %1 DERİYE UYGULANACAK SPREY, ÇÖZELTİ",BUTENAFIN HIDROKLORüR,Diğer / Sınıflandırılamadı
"DESRİNAL  2,5 MG/5 ML ŞURUP",DESLORATADIN,Diğer / Sınıflandırılamadı
PANTİKOR 400 MG FİLM KAPLI TABLET,İMATİNİB MESİLAT,Diğer / Sınıflandırılamadı
PANTİKOR 100 MG FİLM KAPLI TABLET,İMATİNİB MESİLAT,Diğer / Sınıflandırılamadı
FEROUT 90 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FEROUT 180 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FEROUT 360 MG FİLM KAPLI TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
"PARKYN ER 1,5 MG UZATILMIŞ SALIMLI TABLET",PRAMİPEKSOL,Diğer / Sınıflandırılamadı
PARKYN ER 3 MG UZATILMIŞ SALIMLI TABLET,PRAMİPEKSOL,Diğer / Sınıflandırılamadı
"DUPIXENT 200 MG/1,14 ML ENJEKSIYONLUK çöZELTI IçEREN KULLANıMA HAZıR ENJEKTöR",DUPİLUMAB,Diğer / Sınıflandırılamadı
"NAZOFİX  %0.05  BURUN  SPREYİ,  SÜSPANSİYON",MOMETAZON FUROAT,Diğer / Sınıflandırılamadı
"CYCLO-PROGYNOVA 2MG+2MG/0,5MG KAPLI TABLET","ESTRADİOL VALERAT, NORGESTREL",Diğer / Sınıflandırılamadı
GENSIF 40 MG/ML IM/IV ENJEKSIYONLUK ÇöZELTI İÇEREN AMPUL,GENTAMISIN SÜLFAT,Diğer / Sınıflandırılamadı
GENSIF 20 MG/2 ML IM/IV ENJEKSIYONLUK ÇöZELTI İÇEREN AMPUL,GENTAMISIN SÜLFAT,Diğer / Sınıflandırılamadı
GENSIF 80 MG/2 ML IM/IV ENJEKSIYONLUK ÇöZELTI İçEREN AMPUL,GENTAMISIN SÜLFAT,Diğer / Sınıflandırılamadı
SOMATEX 3 MG I.V. INFüZYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE  çöZüCü,SOMATOSTATIN ASETAT,Diğer / Sınıflandırılamadı
"GONAL-F 300 IU/0,48 ML KULLANIMA HAZIR DOLU ENJEKSİYON KALEMİNDE ENJEKSİYONLUK ÇÖZELTİ",FOLLİTROPİN ALFA,Diğer / Sınıflandırılamadı
"GONAL-F 450 IU/0,72 ML KULLANIMA HAZIR DOLU ENJEKSİYON KALEMİNDE ENJEKSİYONLUK ÇÖZELTİ",FOLLİTROPİN ALFA,Diğer / Sınıflandırılamadı
GONAL-F 900 IU/1.44 ML KULLANIMA HAZIR DOLU ENJEKSİYON KALEMİNDE ENJEKSİYONLUK ÇÖZELTİ,FOLLİTROPİN ALFA,Diğer / Sınıflandırılamadı
VEKLURY 100 MG İNFÜZYONLUK ÇÖZELTİ KONSANTRESİ İÇİN TOZ,REMDESİVİR,Diğer / Sınıflandırılamadı
KLACID 500 MG FILM KAPLI TABLET,KLARITROMISIN,Diğer / Sınıflandırılamadı
FEROUT S 125 MG SUDA DAĞILABİLEN TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FEROUT S 250 MG SUDA DAĞILABİLEN TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
FEROUT S 500 MG SUDA DAĞILABİLEN TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
ROSİMİB 10 MG / 40 MG FILM KAPLI TABLET,"EZETIMIB, ROSUVASTATIN KALSIYUM",Diğer / Sınıflandırılamadı
VANKOCENT 1000 MG IV İNFÜZYONLUK  VE ORAL ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ,VANKOMİSİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
VANKOCENT 500 MG IV İNFÜZYONLUK VE ORAL ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ,VANKOMİSİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
MAJEZİK 100 MG FİLM KAPLI TABLET,FLURBİPROFEN,Ağrı Kesici
VEXPERDA 180 MG FILM KAPLı TABLET,DEFERASİROKS,Diğer / Sınıflandırılamadı
"RIFOXTEM 125 MG/1,5 ML IM ENJEKSIYONLUK ÇöZELTI","RIFAMISIN SV, LIDOKAIN HIDROKLORüR",Diğer / Sınıflandırılamadı
VEXPERDA  360 MG FILM KAPLI TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
VEXPERDA  90 MG FILM KAPLı TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
DEFRONI 500 MG SUDA DAĞILABİLEN TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
DEFRONİ 250 MG SUDA DAĞILABİLEN TABLET,DEFERASIROKS,Diğer / Sınıflandırılamadı
